rule	election	candidate	path	value	why
date-out-of-range	2007-vasario-25-savivaldybiu	viktorija-gedviliene-8746-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	1111-11-11	VRK's own typing: 1111-11-11 is verbatim in this record's rawData (year 1111 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	virginija-zuzeviciene-9623-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	0207-05-01	VRK's own typing: 0207-05-01 is verbatim in this record's rawData (year 207 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	zenius-patamsa-5221-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	9999-12-31	VRK's own typing: 9999-12-31 is verbatim in this record's rawData (year 9999 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2007-vasario-25-savivaldybiu	zydrunas-zelnys-8386-2007-vasario-25-savivaldybiu	normalized.privaciu-interesu-deklaracija.v-turtines-prievoles[].isipareigojimo-data	0206-01-30	VRK's own typing: 0206-01-30 is verbatim in this record's rawData (year 206 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2011-vasario-27-savivaldybiu	meile-vainauskaite-32453-2011-vasario-27-savivaldybiu	normalized.privaciu-interesu-deklaracija.iii-individuali-veikla[].veiklos-pradzios-data	1010-11-09	VRK's own typing: 1010-11-09 is verbatim in this record's rawData (year 1010 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2011-vasario-27-savivaldybiu	solveiga-makarenkiene-56039-2011-vasario-27-savivaldybiu	normalized.privaciu-interesu-deklaracija.vii-sandoriai[].sandorio-sudarymo-data	3010-03-01	VRK's own typing: 3010-03-01 is verbatim in this record's rawData (year 3010 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2011-vasario-27-savivaldybiu	tomas-juraitis-60963-2011-vasario-27-savivaldybiu	normalized.privaciu-interesu-deklaracija.vii-sandoriai[].sandorio-sudarymo-data	3009-12-28	VRK's own typing: 3009-12-28 is verbatim in this record's rawData (year 3009 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2015-kovo-1-savivaldybiu	saulius-andriuska-74273-2015-kovo-1-savivaldybiu	normalized.privaciu-interesu-deklaracija.id001i[].individualios-veiklos-pradzia	2103-09-01	VRK's own typing: 2103-09-01 is verbatim in this record's rawData (year 2103 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2015-kovo-1-savivaldybiu	valdas-karalevicius-83056-2015-kovo-1-savivaldybiu	normalized.privaciu-interesu-deklaracija.id001j[].rysio-pradzios-data	2998-01-01	VRK's own typing: 2998-01-01 is verbatim in this record's rawData (year 2998 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2015-kovo-1-savivaldybiu	virginijus-grigonis-83319-2015-kovo-1-savivaldybiu	normalized.privaciu-interesu-deklaracija.id001s[].sandorio-sudarymo-data	2108-04-23	VRK's own typing: 2108-04-23 is verbatim in this record's rawData (year 2108 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2019-kovo-3-savivaldybiu-tarybu	almantas-petkus-2413169-2019-kovo-3-savivaldybiu-tarybu	normalized.privaciu-interesu-deklaracija.id001s[].sandorio-sudarymo-data	2914-08-01	VRK's own typing: 2914-08-01 is verbatim in this record's rawData (year 2914 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2019-kovo-3-savivaldybiu-tarybu	dovydas-kulevicius-2413355-2019-kovo-3-savivaldybiu-tarybu	normalized.privaciu-interesu-deklaracija.id001s[].sandorio-sudarymo-data	2108-08-30	VRK's own typing: 2108-08-30 is verbatim in this record's rawData (year 2108 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
date-out-of-range	2019-kovo-3-savivaldybiu-tarybu	simona-poteliene-2405788-2019-kovo-3-savivaldybiu-tarybu	normalized.privaciu-interesu-deklaracija.id001s[].sandorio-pabaigos-data	2116-09-24	VRK's own typing: 2116-09-24 is verbatim in this record's rawData (year 2116 is outside 1900-2100). Carried faithfully, not repaired -- the digits the page shows are the only evidence of what was meant
income-total-above-its-own-row	2000-kovo-19-savivaldybiu-tarybu	budrys-kazimieras-algirdas-89555-2000-kovo-19-savivaldybiu-tarybu	normalized.turto-ir-pajamu-deklaracijos.gautos-pajamos	334017647.47	VRK's own data-entry error, already in build_candidacy_table.SOURCE_ERRORS: 29603x its own gautos-pajamos-darbo-santykiu of 11283.19, on a form whose other rows are ordinary. The row ships flagged (quality_flags: saltinio-klaida), never filtered
income-total-above-its-own-row	2000-kovo-19-savivaldybiu-tarybu	pilipaviciene-stefa-93146-2000-kovo-19-savivaldybiu-tarybu	normalized.turto-ir-pajamu-deklaracijos.gautos-pajamos	172087745.59	VRK's own data-entry error, already in build_candidacy_table.SOURCE_ERRORS: 12383x its own gautos-pajamos-darbo-santykiu of 13896.77, on a form whose other rows are ordinary. The row ships flagged (quality_flags: saltinio-klaida), never filtered
