path	records	elections	subject	sensitivity	public	note
kandidatavimas.tarybosNarys.vrkSprendimas	9879	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.tarybosNarysNuo	1560	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.tarybosSudetiesSaltinis	1560	1	none	technical	ship	
kandidatavimas.turai[].apygardos-numeris	27	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.turai[].balsai	49	3	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.turai[].balsai-apylinkese	49	3	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.turai[].balsai-pastu	49	3	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.turai[].procentai-nuo-dalyvavusiu	22	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.turai[].procentai-nuo-galiojanciu	49	3	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.turai[].saltinis	49	3	none	technical	ship	
kandidatavimas.turai[].turas	49	3	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.turai[].vieta	27	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.vienmandate	3698	7	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.vienmandate.apygarda	3177	10	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.vienmandate.apygardosId	3177	10	none	technical	ship	
kandidatavimas.vienmandate.apygardosNumeris	3177	10	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.vienmandate.iskele	3177	10	candidate	political	ship	who nominated the candidate and on which list
kandidatavimas.vienmandate.kitiIskelejai[]	5	2	candidate	political	ship	who nominated the candidate and on which list
kandidatavimas.vienmandatesBalsai.balsadezese	2563	9	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.vienmandatesBalsai.isViso	2563	9	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.vienmandatesBalsai.pastu	2563	9	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.vienmandatesBalsai.procentai	2563	9	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.vienmandatesBalsai.saltinis	2563	9	none	technical	ship	
kandidatavimas.vienmandatesBalsai.vieta	2563	9	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.vienmandatesBalsai2.balsadezese	286	8	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.vienmandatesBalsai2.isViso	286	8	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.vienmandatesBalsai2.pastu	286	8	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.vienmandatesBalsai2.procentai	286	8	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.vienmandatesBalsai2.saltinis	286	8	none	technical	ship	
kandidatavimas.vienmandatesBalsai2.vieta	286	8	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
kandidatavimas.vrkCandidateId	100078	29	none	technical	ship	
kandidatavimas.vrkRegistrationId	22	2	none	technical	ship	
kandidatavimas.vrkSprendimas.label	1	1	none	technical	ship	
kandidatavimas.vrkSprendimas.url	1	1	none	technical	ship	
normalized.anketa.adresas	105715	45	candidate	contact	ship	the residence as published: a municipality or locality on all but four of 89,949 values (issue #142)
normalized.anketa.anksciau-isrinktas	6386	2	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.anksciau-isrinktas.aprasas	88387	39	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.anksciau-isrinktas.irasai[]	72201	33	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.anksciau-isrinktas.irasai[].institucijos-pavadinimas-pareigos	16186	39	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.anksciau-isrinktas.irasai[].laikotarpis	16186	39	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.einamos-pareigos	17667	11	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.gimimo-data	95177	44	candidate	identifying	ship	
normalized.anketa.gimimo-data-saltinis	743	8	none	technical	ship	where a recovered value came from
normalized.anketa.gimimo-metai	913	8	candidate	identifying	ship	
normalized.anketa.gimimo-vieta	95335	43	candidate	identifying	ship	
normalized.anketa.gimimo-vietos-saltinis	28	6	none	technical	ship	where a recovered value came from
normalized.anketa.gyvenamoji-vieta	6386	2	candidate	contact	ship	the residence as published: a municipality or locality on all but four of 89,949 values (issue #142)
normalized.anketa.issilavinimas	1194	2	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.issilavinimas.aprasas	93636	42	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.issilavinimas.irasai[]	32132	26	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.issilavinimas.irasai[].baigimo-metai	61504	40	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.issilavinimas.irasai[].issilavinimas	60278	39	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.issilavinimas.irasai[].mokyklos-istaigos-pavadinimas	265	2	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.issilavinimas.irasai[].mokymo-istaigos-pavadinimas	61239	38	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.issilavinimas.irasai[].specialybe	61504	40	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.kita-apie-save	82848	34	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.kontaktai.el-pastas	1775	3	candidate	contact	ship	the candidate's own contact line (2019-2021 forms; `Neskelbiamas` on most)
normalized.anketa.kontaktai.socialiniu-tinklu-paskyros	1775	3	candidate	contact	ship	the candidate's own contact line (2019-2021 forms; `Neskelbiamas` on most)
normalized.anketa.kontaktai.telefonas	1775	3	candidate	contact	ship	the candidate's own contact line (2019-2021 forms; `Neskelbiamas` on most)
normalized.anketa.mandato-netekimo-detales	15892	8	candidate	criminal	ship	the detail behind a mandate lost for a breach
normalized.anketa.mokslo-laipsnis	69318	32	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.narystes-politinese-organizacijose.irasai[]	14081	7	candidate	political	ship	
normalized.anketa.narystes-politinese-organizacijose.irasai[].iki	1811	4	candidate	political	ship	
normalized.anketa.narystes-politinese-organizacijose.irasai[].nuo	1811	4	candidate	political	ship	
normalized.anketa.narystes-politinese-organizacijose.irasai[].politine-organizacija	1811	4	candidate	political	ship	
normalized.anketa.narystes-politinese-organizacijose.tekstas	15586	7	candidate	political	ship	
normalized.anketa.pagrindine-darboviete	94500	42	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.pareiskimai.ar-atimta-balsavimo-teise-kitoje-valstybeje	718	3	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-atliekate-karo-ar-statutine-tarnyba	9	1	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-atliekate-karo-tarnyba	89814	36	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-bendradarbiavote-su-ssrs-tarnybomis	15913	10	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-bendradarbiavote-su-uzsienio-tarnybomis	20295	23	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-buvote-pripazintas-kaltu	105692	42	candidate	criminal	ship	
normalized.anketa.pareiskimai.ar-buvote-pripazintas-kaltu-del-politinio-persekiojimo	31634	13	candidate	criminal	ship	
normalized.anketa.pareiskimai.ar-buvote-pripazintas-kaltu-del-sunkaus-nusikaltimo	6875	13	candidate	criminal	ship	
normalized.anketa.pareiskimai.ar-buvote-pripazintas-kaltu-uzsienyje	33093	17	candidate	criminal	ship	
normalized.anketa.pareiskimai.ar-buvote-pripazintas-kaltu-uzsienyje-del-politinio-persekiojimo	1459	4	candidate	criminal	ship	
normalized.anketa.pareiskimai.ar-eina-nesuderinamas-pareigas	75266	19	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-esate-ar-buvote-kitos-valstybes-pilietis	1756	3	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-esate-pilietis-pagal-kilme	24	3	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-galite-buti-renkamas-seimo-nariu	7	1	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-gyvenate-lietuvoje-trejus-metus	24	3	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-kitos-es-valstybes-pilietis	319	1	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-kitos-valstybes-institucijos-narys	75266	19	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-nebaigta-teismo-paskirta-bausme	105696	43	candidate	criminal	ship	
normalized.anketa.pareiskimai.ar-neteko-mandato-uz-pazeidimus	15892	8	candidate	criminal	ship	
normalized.anketa.pareiskimai.ar-pasyvioji-rinkimu-teise-neapribota	13419	1	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-rinkimu-teise-apribota-kitoje-es-valstybeje	319	1	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-savanoriskos-karo-tarnybos-karys	1754	1	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-susijes-priesaika-uzsienio-valstybei	11169	23	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-turejote-kitos-valstybes-pilietybe	9	1	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-turite-kitos-valstybes-pilietybe	89802	35	candidate	eligibility	ship	
normalized.anketa.pareiskimai.ar-veika-dekriminalizuota	33093	17	candidate	criminal	ship	
normalized.anketa.pareiskimai.kitos-valstybes-pilietybe-valstybe	11868	5	candidate	eligibility	ship	
normalized.anketa.pareiskimai.priesaikos-uzsienio-valstybei-atsisakymas	11150	2	candidate	eligibility	ship	
normalized.anketa.pareiskimai.sutikimas-tikrinti-pilietybes-duomenis	9	1	candidate	eligibility	ship	
normalized.anketa.pareiskimai.teisiniai-argumentai	73804	24	candidate	criminal	ship	
normalized.anketa.pareiskimai.uzsienio-priesaikos-atsisakymas	9	1	candidate	eligibility	ship	
normalized.anketa.pedagoginis-vardas	84385	39	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.politine-organizacija	66760	31	candidate	political	ship	
normalized.anketa.pomegiai	78169	33	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.seimine-padetis	95231	42	candidate	family	ship	
normalized.anketa.seimos-nariai	13419	1	family	identifying	ship	family members by name and relation; 9,581 records declare members under 18
normalized.anketa.seimos-nariai[]	4242	4	family	identifying	ship	family members by name and relation; 9,581 records declare members under 18
normalized.anketa.seimos-nariai[].name	5320	8	family	identifying	ship	family members by name and relation; 9,581 records declare members under 18
normalized.anketa.seimos-nariai[].relation	5320	8	family	identifying	ship	family members by name and relation; 9,581 records declare members under 18
normalized.anketa.seimos-nariai[].rysys	8730	2	family	identifying	ship	family members by name and relation; 9,581 records declare members under 18
normalized.anketa.seimos-nariai[].vardas	8730	2	family	identifying	ship	family members by name and relation; 9,581 records declare members under 18
normalized.anketa.sutuoktinio-vardas-pavarde	95113	42	family	identifying	ship	a spouse's or the children's names, published on the 1996-2020 questionnaires
normalized.anketa.tautybe	83767	40	candidate	ethnic	ship	
normalized.anketa.teistumo-detales.irasai[]	32150	17	candidate	criminal	ship	
normalized.anketa.teistumo-detales.irasai[].nuosprendzio-data	943	12	candidate	criminal	ship	
normalized.anketa.teistumo-detales.irasai[].nuosprendzio-institucija	943	12	candidate	criminal	ship	
normalized.anketa.teistumo-detales.irasai[].nuosprendzio-valstybe	943	12	candidate	criminal	ship	
normalized.anketa.teistumo-detales.irasai[].nusikalstama-veika	333	7	candidate	criminal	ship	
normalized.anketa.teistumo-detales.irasai[].nusikalstamos-veikos[]	30	1	candidate	criminal	ship	
normalized.anketa.teistumo-detales.irasai[].nusikalstamos-veikos[].kaltes-forma	580	5	candidate	criminal	ship	
normalized.anketa.teistumo-detales.irasai[].nusikalstamos-veikos[].kesinimosi-objektas-baudziamojo-kodekso-skyriaus-ir-straipsnio-pavadinimas	580	5	candidate	criminal	ship	
normalized.anketa.teistumo-detales.irasai[].nusikalstamos-veikos[].nusikalstamos-veikos-rusis-nusikaltimas-ar-baudziamasis-isakymas	580	5	candidate	criminal	ship	
normalized.anketa.teistumo-detales.irasai[].nusikalstamos-veikos[].sunkumas	580	5	candidate	criminal	ship	
normalized.anketa.teistumo-detales.irasai[].nusikalstamos-veikos[].teistumo-isnykimo-ar-panaikinimo-data	580	5	candidate	criminal	ship	
normalized.anketa.uzsienio-kalbos[]	95204	42	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.anketa.vaiku-vardai-pavardes	95157	42	family	identifying	ship	a spouse's or the children's names, published on the 1996-2020 questionnaires
normalized.anketa.visuomenine-veikla	94566	41	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija	597	2	none	technical	ship	an empty section: the key exists and holds nothing on this record
normalized.biografija.darbo-patirtis.irasai[]	3888	4	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.darbo-patirtis.irasai[].darbo-pabaiga	13778	11	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.darbo-patirtis.irasai[].darbo-pradzia	13778	11	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.darbo-patirtis.irasai[].darboviete	13778	11	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.darbo-patirtis.irasai[].pareigos	13778	11	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.gimimo-data	17666	11	candidate	identifying	ship	
normalized.biografija.gimimo-vieta	17666	11	candidate	identifying	ship	
normalized.biografija.issilavinimas.irasai[]	2363	2	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.issilavinimas.irasai[].baigimo-metai	15303	11	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.issilavinimas.irasai[].issilavinimas	15303	11	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.issilavinimas.irasai[].mokymo-istaigos-pavadinimas	15303	11	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.issilavinimas.irasai[].specialybe	15303	11	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.kita-apie-save	1753	1	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.mokslo-laipsnis	17666	11	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.pedagoginis-vardas	17666	11	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.pomegiai	17666	11	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.seimine-padetis	17666	11	candidate	family	ship	
normalized.biografija.sutuoktinio-vardas-pavarde	1753	1	family	identifying	ship	a spouse's or the children's names, published on the 1996-2020 questionnaires
normalized.biografija.tautybe	15585	7	candidate	ethnic	ship	
normalized.biografija.tekstas	23200	38	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.uzsienio-kalbos[]	17666	11	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.biografija.vaiku-vardai-pavardes	1753	1	family	identifying	ship	a spouse's or the children's names, published on the 1996-2020 questionnaires
normalized.biografija.visuomenine-veikla	17666	11	candidate	biographical	ship	education, work, activity, languages, hobbies, free text
normalized.gyvenamoji-vieta	950	6	candidate	contact	ship	the residence as published: a municipality or locality on all but four of 89,949 values (issue #142)
normalized.kandidatavimas.iskele	6386	2	candidate	political	ship	who nominated the candidate and on which list
normalized.kandidatavimas.iskele-nuoroda	6386	2	none	technical	ship	
normalized.kandidatavimas.isrinktas	6386	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas.isrinktas-kaip	1484	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas.numeris-sarase	6386	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas.rezultatai-negalioja.pastaba	104	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas.rezultatai-negalioja.saltinis	104	1	none	technical	ship	
normalized.kandidatavimas.rezultatu-saltinis	1484	2	none	technical	ship	
normalized.kandidatavimas.savivaldybe	6386	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas.savivaldybes-numeris	6386	2	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas.savivaldybes-nuoroda	6386	2	none	technical	ship	
normalized.kandidatavimas[].apygarda	950	6	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas[].apygardos-numeris	950	6	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas[].apygardos-nuoroda	950	6	none	technical	ship	
normalized.kandidatavimas[].iskele	950	6	candidate	political	ship	who nominated the candidate and on which list
normalized.kandidatavimas[].iskele-nuoroda	950	6	none	technical	ship	
normalized.kandidatavimas[].isrinktas	950	6	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas[].isrinktas-kaip	123	3	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas[].neigiami-balsai	662	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas[].numeris-sarase	950	6	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas[].porinkiminis-numeris-sarase	662	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas[].reitingo-balai	662	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas[].reitingo-saltinis	662	1	none	technical	ship	
normalized.kandidatavimas[].rezultatu-saltinis	123	3	none	technical	ship	
normalized.kandidatavimas[].rezultatu-turas	70	3	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas[].teigiami-balsai	662	1	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas[].turai[].apygardos-numeris	950	6	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas[].turai[].balsai	950	6	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas[].turai[].balsai-apygardoje	950	6	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas[].turai[].balsai-pastu	950	6	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas[].turai[].saltinis	950	6	none	technical	ship	
normalized.kandidatavimas[].turai[].turas	950	6	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kandidatavimas[].turai[].vieta	950	6	candidate	public-record	ship	the candidacy: office, constituency, list position, votes, outcome
normalized.kita.nuorodos[]	67871	35	candidate	biographical	ship	
normalized.kita.tekstai[]	67871	35	candidate	biographical	ship	
normalized.patiketiniai[]	10	2	third-party	identifying	ship	the candidate's trustees (patikėtiniai), by name
normalized.patiketiniai[].numeris	6	1	third-party	identifying	ship	the candidate's trustees (patikėtiniai), by name
normalized.patiketiniai[].vardas-pavarde	6	1	third-party	identifying	ship	the candidate's trustees (patikėtiniai), by name
normalized.politines-kampanijos-dalyvio-duomenys[].atstovauja.nuoroda	993	10	candidate	political	ship	the party or list the represented participant runs under
normalized.politines-kampanijos-dalyvio-duomenys[].atstovauja.pavadinimas	993	10	candidate	political	ship	the party or list the represented participant runs under
normalized.politines-kampanijos-dalyvio-duomenys[].auditorius	1325	23	candidate	public-record	ship	the campaign registration: status, dates, decision numbers
normalized.politines-kampanijos-dalyvio-duomenys[].auditorius.ataskaitos[].date	15467	10	none	public-record	ship	the audit reports filed
normalized.politines-kampanijos-dalyvio-duomenys[].auditorius.ataskaitos[].rowNumber	15467	10	none	public-record	ship	the audit reports filed
normalized.politines-kampanijos-dalyvio-duomenys[].auditorius.ataskaitos[].status	15467	10	none	public-record	ship	the audit reports filed
normalized.politines-kampanijos-dalyvio-duomenys[].auditorius.ataskaitos[].type	15467	10	none	public-record	ship	the audit reports filed
normalized.politines-kampanijos-dalyvio-duomenys[].auditorius.ataskaitos[].urls[]	15467	10	none	public-record	ship	the audit reports filed
normalized.politines-kampanijos-dalyvio-duomenys[].auditorius.el-pastas	18874	32	third-party	contact	drop	the treasurer's / auditor's phone and e-mail; DROPPED by the public profile
normalized.politines-kampanijos-dalyvio-duomenys[].auditorius.imones-kodas	18874	32	third-party	organisation	ship	
normalized.politines-kampanijos-dalyvio-duomenys[].auditorius.imones-pavadinimas	18874	32	third-party	organisation	ship	
normalized.politines-kampanijos-dalyvio-duomenys[].auditorius.telefonas	18874	32	third-party	contact	drop	the treasurer's / auditor's phone and e-mail; DROPPED by the public profile
normalized.politines-kampanijos-dalyvio-duomenys[].auditorius.vardas-pavarde	18874	32	third-party	identifying	ship	the treasurer / auditor by name (790 people)
normalized.politines-kampanijos-dalyvio-duomenys[].aukos-pagal-sekcija	2364	20	candidate	public-record	ship	the campaign registration: status, dates, decision numbers
